;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
128;The handmaiden;7.6;Ah-ga-ssi ;Drama,Romance,Thriller;69665;8.1;84.0;2016.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
129;A quiet place ;8.4;A Quiet Place ;Drama,Horror,Mystery,Thriller;232898;7.6;82.0;2018.0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0
130;Invinity War: part 1;8.0;Avengers: Infinity War ;Action,Adventure,Fantasy;528328;8.5;68.0;2018.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
131;Deadpool 2;8.6;Deadpool 2 ;Action,Adventure,Comedy;305084;7.8;66.0;2018.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;Jurassic world: fallen kingdom;7.0;Jurassic World: Fallen Kingdom ;Action,Adventure;175867;6.2;51.0;2018.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;The incredibles 2 ;7.6;Incredibles 2 ;Animation,Action,Adventure,Comedy,Family;140300;7.9;80.0;2018.0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
134;Game night;7.0;Game Night ;Action,Comedy,Crime,Mystery;129894;7.0;66.0;2018.0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
135;Red sparrow;7.3;Red Sparrow ;Action,Drama,Thriller;113748;6.6;53.0;2018.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
136;Tag;6.8;Tag ;Comedy,contentRating,R,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;58599;6.6;56.0;2018.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
137;Mission impossible: Fallout;7.8;Mission: Impossible - Fallout ;Action,Adventure,Thriller;170523;7.9;86.0;2018.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
138;Oceans 8;6.9;Ocean's Eight ;Action,Comedy,Crime,Thriller;105972;6.2;61.0;2018.0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
139;The darkest minds;7.0;The Darkest Minds ;Thriller;14347;5.6;39.0;2018.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
140;The equalizer 2;7.7;The Equalizer 2 ;Action,Crime,Thriller;56304;6.8;50.0;2018.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
141;Johnny English: Strikes Again;7.3;Johnny English Strikes Again ;Action,Adventure,Comedy;15531;6.5;39.0;2018.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;The mechanic;7.8;The Mechanic ;Action,Crime,Thriller;138099;6.6;49.0;2011.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
143;Venom;7.4;Venom ;Action;128570;7.0;35.0;2018.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;The Crimes of Grindelwald;7.9;Fantastic Beasts: The Crimes of Grindelwald ;Adventure,Family,Fantasy;61862;7.0;53.0;2018.0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
